,DESCRICAO_UE,SIGLA_UE,SIGLA_UF
190072,SAO JOAO DA PONTA,4820,PA
190135,SAO JOAO DE PIRABAS,4065,PA
190211,SAO JOAO DO ARAGUAIA,5495,PA
190273,SAO MIGUEL DO GUAMA,5517,PA
190360,SAO SEBASTIAO DA BOA VISTA,5533,PA
190463,SAPUCAIA,4847,PA
190532,SENADOR JOSE PORFIRIO,5550,PA
190614,SOURE,5576,PA
190727,TAILANDIA,4022,PA
190820,TERRA ALTA,4545,PA
190897,TERRA SANTA,4367,PA
190950,TOME ACU,5592,PA
191076,TRACUATEUA,4669,PA
191182,TRAIRAO,4286,PA
191239,TUCUMA,4081,PA
191324,TUCURUI,5614,PA
191468,ULIANOPOLIS,4324,PA
191520,URUARA,5754,PA
191648,VIGIA,5630,PA
191793,VITORIA DO XINGU,4405,PA
191895,VIZEU,5657,PA
192003,XINGUARA,5711,PA
192095,AGUA BRANCA,19011,PB
192129,AGUIAR,19038,PB
192157,ALAGOA GRANDE,19054,PB
192263,ALAGOA NOVA,19070,PB
192318,ALAGOINHA,19097,PB
192373,ALCANTIL,19763,PB
192416,ALGODAO DE JANDAIRA,19925,PB
192450,ALHANDRA,19119,PB
192523,AMPARO,19585,PB
192567,APARECIDA,19844,PB
192599,ARACAGI,19151,PB
192659,ARARA,19178,PB
192710,ARARUNA,19194,PB
192756,AREIA,19216,PB
192866,AREIA DE BARAUNAS,19909,PB
192899,AREIAL,19232,PB
192930,AROEIRAS,19259,PB
192988,ASSUNCAO,19321,PB
193017,BAIA DA TRAICAO,19291,PB
193070,BANANEIRAS,19313,PB
193110,BARAUNA,19305,PB
193143,BARRA DE SANTA ROSA,19330,PB
193169,BARRA DE SANTANA,19780,PB
193221,BARRA DE SAO MIGUEL,19356,PB
193256,BAYEUX,19372,PB
193434,BELEM,19399,PB
193476,BELEM DO BREJO DO CRUZ,19410,PB
193502,BERNARDINO BATISTA,19500,PB
193530,BOA VENTURA,19437,PB
193573,BOA VISTA,19941,PB
193625,BOM JESUS,19453,PB
193661,BOM SUCESSO,19470,PB
193690,BONITO DE SANTA FE,19496,PB
193714,BOQUEIRAO,19518,PB
193782,BORBOREMA,19550,PB
193819,BREJO DO CRUZ,19577,PB
193853,BREJO DOS SANTOS,19593,PB
193882,CAAPORA,19615,PB
193952,CABACEIRAS,19631,PB
193988,CABEDELO,19658,PB
194127,CACHOEIRA DOS INDIOS,19674,PB
194161,CACIMBA DE AREIA,19690,PB
194196,CACIMBA DE DENTRO,19712,PB
194258,CACIMBAS,19364,PB
194291,CAICARA,19739,PB
194320,CAJAZEIRAS,19755,PB
194377,CAJAZEIRINHAS,19380,PB
194408,CALDAS BRANDAO,19771,PB
194452,CAMALAU,19798,PB
194483,CAMPINA GRANDE,19810,PB
194726,CAMPO DE SANTANA,22292,PB
194762,CAPIM,19062,PB
194829,CARAUBAS,19240,PB
194858,CARRAPATEIRA,19836,PB
194886,CASSERENGUE,19607,PB
194922,CATINGUEIRA,19852,PB
194966,CATOLE DO ROCHA,19879,PB
195004,CATURITE,19801,PB
195037,CONCEICAO,19895,PB
195075,CONDADO,19917,PB
195106,CONDE,19933,PB
195225,CONGO,19950,PB
195255,COREMAS,19976,PB
195300,COXIXOLA,19704,PB
195324,CRUZ DO ESPIRITO SANTO,19992,PB
195428,CUBATI,20010,PB
195469,CUITE,20036,PB
195501,CUITE DE MAMANGUAPE,19089,PB
195561,CUITEGI,20052,PB
195609,CURRAL DE CIMA,19100,PB
195640,CURRAL VELHO,20079,PB
195667,DAMIAO,19275,PB
195698,DESTERRO,20095,PB
195734,DIAMANTE,20133,PB
195786,DONA INES,20150,PB
195819,DUAS ESTRADAS,20176,PB
195856,EMAS,20192,PB
195883,ESPERANCA,20214,PB
195951,FAGUNDES,20230,PB
195985,FREI MARTINHO,20257,PB
196008,GADO BRAVO,19623,PB
196054,GUARABIRA,20273,PB
196158,GURINHEM,20290,PB
196198,GURJAO,20311,PB
196234,IBIARA,20338,PB
196275,IGARACY,19534,PB
196301,IMACULADA,20354,PB
196350,INGA,20370,PB
196433,ITABAIANA,20397,PB
196535,ITAPORANGA,20419,PB
196597,ITAPOROROCA,20435,PB
196645,ITATUBA,20451,PB
196679,JACARAU,20478,PB
196729,JERICO,20494,PB
196763,JOAO PESSOA,20516,PB
197207,JUAREZ TAVORA,20532,PB
197248,JUAZEIRINHO,20559,PB
197305,JUNCO DO SERIDO,20575,PB
197339,JURIPIRANGA,20591,PB
197391,JURU,20613,PB
197435,LAGOA,20630,PB
197469,LAGOA DE DENTRO,20656,PB
197505,LAGOA SECA,20672,PB
197559,LASTRO,20699,PB
197586,LIVRAMENTO,20710,PB
197655,LOGRADOURO,19160,PB
197685,LUCENA,20737,PB
197752,MAE D AGUA,20753,PB
197777,MALTA,20770,PB
197805,MAMANGUAPE,20796,PB
197913,MANAIRA,20818,PB
197938,MARCACAO,19968,PB
197976,MARI,20834,PB
198041,MARIZOPOLIS,19461,PB
198084,MASSARANDUBA,20850,PB
198141,MATARACA,20877,PB
198177,MATINHAS,19143,PB
198223,MATO GROSSO,19488,PB
198248,MATUREIA,19984,PB
198276,MOGEIRO,20893,PB
198329,MONTADAS,20915,PB
198353,MONTE HOREBE,20931,PB
198391,MONTEIRO,20958,PB
198453,MULUNGU,20974,PB
198501,NATUBA,20990,PB
198544,NAZAREZINHO,21016,PB
198579,NOVA FLORESTA,21032,PB
198612,NOVA OLINDA,21059,PB
198639,NOVA PALMEIRA,21075,PB
198672,OLHO D AGUA,21091,PB
198698,OLIVEDOS,21113,PB
198728,OURO VELHO,21130,PB
198755,PARARI,19720,PB
198776,PASSAGEM,21156,PB
198815,PATOS,21172,PB
198887,PAULISTA,21199,PB
198915,PEDRA BRANCA,21210,PB
198940,PEDRA LAVRADA,21237,PB
198983,PEDRAS DE FOGO,21253,PB
199063,PEDRO REGIS,19747,PB
199113,PIANCO,21270,PB
199168,PICUI,21296,PB
199227,PILAR,21318,PB
199292,PILOES,21334,PB
199346,PILOEZINHOS,21350,PB
199378,PIRPIRITUBA,21377,PB
199444,PITIMBU,21393,PB
199514,POCINHOS,21415,PB
199568,POCO DANTAS,19640,PB
199596,POCO DE JOSE DE MOURA,19526,PB
199625,POMBAL,21431,PB
199680,PRATA,21458,PB
199701,PRINCESA ISABEL,21474,PB
199727,PUXINANA,21490,PB
199779,QUEIMADAS,21512,PB
199870,QUIXABA,21539,PB
199899,REMIGIO,21555,PB
199952,RIACHAO,19208,PB
199970,RIACHAO DO BACAMARTE,19127,PB
200007,RIACHAO DO POCO,19003,PB
200043,RIACHO DE SANTO ANTONIO,19828,PB
200076,RIACHO DOS CAVALOS,21571,PB
200111,RIO TINTO,21598,PB
200151,SALGADINHO,21610,PB
200180,SALGADO DE SAO FELIX,21636,PB
200236,SANTA CECILIA DE UMBUZEIRO,20001,PB
200320,SANTA CRUZ,21652,PB
200349,SANTA HELENA,21679,PB
200383,SANTA INES,19569,PB
200407,SANTA LUZIA,21695,PB
200441,SANTA RITA,21750,PB
200651,SANTA TERESINHA,21776,PB
200682,SANTANA DE MANGUEIRA,21717,PB
200707,SANTANA DOS GARROTES,21733,PB
200734,SANTAREM,19666,PB
200752,SANTO ANDRE,19267,PB
200798,SAO BENTINHO,19402,PB
200824,SAO BENTO,21792,PB
200852,SAO DOMINGOS DE POMBAL,19429,PB
200879,SAO DOMINGOS DO CARIRI,19224,PB
200910,SAO FRANCISCO,19860,PB
200946,SAO JOAO DO CARIRI,21814,PB
200981,SAO JOAO DO RIO DO PEIXE,19135,PB
201054,SAO JOAO DO TIGRE,21830,PB
201085,SAO JOSE DA LAGOA TAPADA,21857,PB
201117,SAO JOSE DE CAIANA,21873,PB
201155,SAO JOSE DE ESPINHARAS,21890,PB
201191,SAO JOSE DE PIRANHAS,21911,PB
201235,SAO JOSE DE PRINCESA,19445,PB
201258,SAO JOSE DO BONFIM,21938,PB
201288,SAO JOSE DO BREJO CRUZ,19542,PB
201325,SAO JOSE DO SABUGI,21954,PB
201347,SAO JOSE DOS CORDEIROS,21970,PB
201377,SAO JOSE DOS RAMOS,19046,PB
201435,SAO MAMEDE,21997,PB
201471,SAO MIGUEL DE TAIPU,22012,PB
201523,SAO SEB. DE LAGOA DE ROCA,22039,PB
201561,SAO SEBASTIAO DO UMBUZEIRO,22055,PB
201586,SAO VICENTE DO SERIDO,22098,PB
201644,SAPE,22071,PB
201754,SERRA BRANCA,22110,PB
201789,SERRA DA RAIZ,22136,PB
201821,SERRA GRANDE,22152,PB
201849,SERRA REDONDA,22179,PB
201889,SERRARIA,22195,PB
201950,SERTAOZINHO,19186,PB
201985,SOBRADO,19020,PB
202044,SOLANEA,22217,PB
202123,SOLEDADE,22233,PB
202170,SOSSEGO,19283,PB
202205,SOUSA,22250,PB
202294,SUME,22276,PB
202356,TAPEROA,22314,PB
202403,TAVARES,22330,PB
202440,TEIXEIRA,22357,PB
202486,TENORIO,19682,PB
202520,TRIUNFO,22373,PB
202558,UIRAUNA,22390,PB
202596,UMBUZEIRO,22411,PB
202649,VARZEA,22438,PB
202675,VIEIROPOLIS,19887,PB
202704,VISTA SERRANA,20117,PB
202730,ZABELE,19348,PB
202761,ABREU E LIMA,26310,PE
202975,AFOGADOS DA INGAZEIRA,23019,PE
203038,AFRANIO,23035,PE
203070,AGRESTINA,23051,PE
203149,AGUA PRETA,23078,PE
203257,AGUAS BELAS,23094,PE
203347,ALAGOINHA,23116,PE
203381,ALIANCA,23132,PE
203468,ALTINHO,23159,PE
203522,AMARAJI,23175,PE
203609,ANGELIM,23191,PE
203646,ARACOIABA,23205,PE
203786,ARARIPINA,23213,PE
203895,ARCOVERDE,23230,PE
204007,BARRA DE GUABIRABA,23256,PE
204053,BARREIROS,23272,PE
204175,BELEM DE MARIA,23299,PE
204247,BELEM DE SAO FRANCISCO,23310,PE
204306,BELO JARDIM,23337,PE
204410,BETANIA,23353,PE
204430,BEZERROS,23370,PE
204531,BODOCO,23396,PE
204574,BOM CONSELHO,23418,PE
204660,BOM JARDIM,23434,PE
204724,BONITO,23450,PE
204798,BREJAO,23477,PE
204836,BREJINHO,23493,PE
204858,BREJO DA MADRE DE DEUS,23515,PE
204928,BUENOS AIRES,23531,PE
205006,BUIQUE,23558,PE
205066,CABO,23574,PE
205276,CABROBO,23590,PE
205366,CACHOEIRINHA,23612,PE
205420,CAETES,23639,PE
205452,CALCADO,23655,PE
205498,CALUMBI,23671,PE
205550,CAMARAGIBE,26298,PE
205714,CAMOCIM DE SAO FELIX,23698,PE
205754,CAMUTANGA,23710,PE
205800,CANHOTINHO,23736,PE
205873,CAPOEIRAS,23752,PE
205926,CARNAIBA,23779,PE
205959,CARNAUBEIRA DA PENHA,23167,PE
206007,CARPINA,23795,PE
206188,CARUARU,23817,PE
206404,CASINHAS,23221,PE
206449,CATENDE,23833,PE
206607,CEDRO,23850,PE
206641,CHA DE ALEGRIA,23876,PE
206695,CHA GRANDE,23892,PE
206742,CONDADO,23914,PE
206856,CORRENTES,23930,PE
206923,CORTES,23957,PE
206985,CUMARU,23973,PE
207017,CUPIRA,23990,PE
207084,CUSTODIA,24015,PE
207146,DORMENTES,23140,PE
207188,ESCADA,24031,PE
207370,EXU,24058,PE
207407,FEIRA NOVA,24074,PE
207498,FERREIROS,24090,PE
207539,FLORES,24112,PE
207589,FLORESTA,24139,PE
207658,FREI MIGUELINHO,24155,PE
207701,GAMELEIRA,24171,PE
207824,GARANHUNS,24198,PE
207958,GLORIA DO GOITA,24210,PE
208014,GOIANA,24236,PE
208133,GRANITO,24252,PE
208156,GRAVATA,24279,PE
208306,IATI,24295,PE
208366,IBIMIRIM,24317,PE
208455,IBIRAJUBA,24333,PE
208486,IGARASSU,24350,PE
208674,IGUARACI,24376,PE
208711,INAJA,24392,PE
208746,INGAZEIRA,24414,PE
208774,IPOJUCA,24430,PE
208935,IPUBI,24457,PE
208975,ITACURUBA,24473,PE
209010,ITAIBA,24490,PE
209055,ITAMARACA,24511,PE
209188,ITAMBE,25976,PE
209293,ITAPETIM,24538,PE
209336,ITAPISSUMA,26336,PE
209443,ITAQUITINGA,24554,PE
209529,JABOATAO,24570,PE
210035,JAQUEIRA,23302,PE
210101,JATAUBA,24597,PE
210131,JATOBA,23264,PE
210214,JOAO ALFREDO,24619,PE
210263,JOAQUIM NABUCO,24635,PE
210337,JUCATI,23124,PE
210372,JUPI,24651,PE
210416,JUREMA,24678,PE
210447,LAGOA DE ITAENGA,24694,PE
210510,LAGOA DO CARRO,23027,PE
210622,LAGOA DO OURO,24716,PE
210647,LAGOA DOS GATOS,24732,PE
210686,LAGOA GRANDE,23183,PE
210750,LAJEDO,24759,PE
210793,LIMOEIRO,24775,PE
210874,MACAPARANA,24791,PE
210938,MACHADOS,24813,PE
210999,MANARI,23248,PE
211037,MARAIAL,24830,PE
211105,MIRANDIBA,24856,PE
211173,MOREILANDIA,25852,PE
211220,MORENO,24872,PE
211342,NAZARE DA MATA,24899,PE
211423,OLINDA,24910,PE
211790,OROBO,24937,PE
211831,OROCO,24953,PE
211868,OURICURI,24970,PE
211972,PALMARES,24996,PE
212099,PALMEIRINA,25011,PE
212138,PANELAS,25038,PE
212181,PARANATAMA,25054,PE
212232,PARNAMIRIM,25070,PE
212263,PASSIRA,25097,PE
212314,PAUDALHO,25119,PE
212452,PAULISTA,25135,PE
212751,PEDRA,25151,PE
212791,PESQUEIRA,25178,PE
212906,PETROLANDIA,25194,PE
212974,PETROLINA,25216,PE
213156,POCAO,25232,PE
213206,POMBOS,25259,PE
213290,PRIMAVERA,25275,PE
213351,QUIPAPA,25291,PE
213417,QUIXABA,23000,PE
213439,RECIFE,25313,PE
214240,RIACHO DAS ALMAS,25330,PE
214295,RIBEIRAO,25356,PE
214398,RIO FORMOSO,25372,PE
214458,SAIRE,25399,PE
214499,SALGADINHO,25410,PE
214532,SALGUEIRO,25437,PE
214608,SALOA,25453,PE
214653,SANHARO,25470,PE
214709,SANTA CRUZ,23108,PE
214748,SANTA CRUZ DA BAIXA VERDE,23043,PE
214808,SANTA CRUZ DO CAPIBARIBE,25496,PE
214865,SANTA FILOMENA,23329,PE
214898,SANTA MARIA DA BOA VISTA,25518,PE
214972,SANTA MARIA DO CAMBUCA,25534,PE
215006,SANTA TEREZINHA,25550,PE
215033,SAO BENEDITO DO SUL,25577,PE
215079,SAO BENTO DO UNA,25593,PE
215134,SAO CAETANO,25615,PE
215224,SAO JOAO,25631,PE
215255,SAO JOAQUIM DO MONTE,25658,PE
215302,SAO JOSE DA COROA GRANDE,25674,PE
215418,SAO JOSE DO BELMONTE,25690,PE
215458,SAO JOSE DO EGITO,25712,PE
215505,SAO LOURENCO DA MATA,25739,PE
215717,SAO VICENTE FERRER,25755,PE
215755,SERRA TALHADA,25771,PE
215845,SERRITA,25798,PE
215888,SERTANIA,25810,PE
215949,SIRINHAEM,25836,PE
216055,SOLIDAO,25879,PE
216083,SURUBIM,25895,PE
216196,TABIRA,25917,PE
216233,TACAIMBO,25933,PE
216288,TACARATU,25950,PE
216339,TAMANDARE,23280,PE
216432,TAQUARITINGA DO NORTE,25992,PE
216495,TEREZINHA,26018,PE
216515,TERRA NOVA,26034,PE
216538,TIMBAUBA,26050,PE
216618,TORITAMA,26077,PE
216668,TRACUNHAEM,26093,PE
216782,TRINDADE,26115,PE
216823,TRIUNFO,26131,PE
216874,TUPANATINGA,26158,PE
216916,TUPARETAMA,26174,PE
216951,VENTUROSA,26190,PE
216991,VERDEJANTE,26212,PE
217023,VERTENTE DO LERIO,23086,PE
217082,VERTENTES,26239,PE
217113,VICENCIA,26255,PE
217202,VITORIA DE SANTO ANTAO,26271,PE
217384,XEXEU,23060,PE
217452,ACAUA,12327,PI
217475,AGRICOLANDIA,10014,PI
217511,AGUA BRANCA,10030,PI
217574,ALAGOINHA,12319,PI
217602,ALEGRETE DO PIAUI,10022,PI
217613,ALTO LONGA,10057,PI
217645,ALTOS,10073,PI
217750,ALVORADA DO GURGUEIA,12084,PI
217809,AMARANTE,10090,PI
217873,ANGICAL DO PIAUI,10111,PI
217922,ANISIO DE ABREU,10138,PI
217957,ANTONIO ALMEIDA,10154,PI
217986,AROAZES,10170,PI
218013,AROEIRAS DO ITAIM,12734,PI
218056,ARRAIAL,10197,PI
218089,ASSUNCAO DO PIAUI,12106,PI
218120,AVELINO LOPES,10219,PI
218149,BAIXA GRANDE DO RIBEIRO,10049,PI
218199,BARRA D'ALCANTARA,10600,PI
218228,BARRAS,10235,PI
218301,BARREIRAS DO PIAUI,10251,PI
218336,BARRO DURO,10278,PI
218383,BATALHA,10294,PI
218437,BELA VISTA DO PIAUI,10626,PI
218455,BELEM DO PIAUI,12335,PI
218480,BENEDITINOS,10316,PI
218543,BERTOLINIA,10332,PI
218578,BETANIA DO PIAUI,12122,PI
218598,BOA HORA,10669,PI
218660,BOCAINA,10359,PI
218682,BOM JESUS,10375,PI
218731,BOM PRINCIPIO DO PIAUI,10065,PI
218769,BONFIM DO PIAUI,10081,PI
218794,BOQUEIRAO DO PIAUI,12149,PI
218848,BRASILEIRA,10006,PI
218874,BREJO DO PIAUI,10642,PI
218901,BURITI DOS LOPES,10391,PI
218948,BURITI DOS MONTES,10103,PI
218969,CABECEIRAS DO PIAUI,10120,PI
219006,CAJAZEIRAS DO PIAUI,12343,PI
219028,CAJUEIRO DA PRAIA,12572,PI
219072,CALDEIRAO GRANDE DO PIAUI,10146,PI
219097,CAMPINAS DO PIAUI,10413,PI
219117,CAMPO ALEGRE DO FIDALGO,12351,PI
219146,CAMPO GRANDE DO PIAUI,10723,PI
219171,CAMPO LARGO DO PIAUI,10740,PI
219220,CAMPO MAIOR,10430,PI
219321,CANAVIEIRA,10162,PI
219349,CANTO DO BURITI,10456,PI
219410,CAPITAO DE CAMPOS,10472,PI
219459,CAPITAO GERVASIO OLIVEIRA,10707,PI
219492,CARACOL,10499,PI
219523,CARAUBAS DO PIAUI,12670,PI
219550,CARIDADE DO PIAUI,12165,PI
219578,CASTELO DO PIAUI,10510,PI
219616,CAXINGO,12688,PI
219651,COCAL,10537,PI
219711,COCAL DE TELHA,12360,PI
219752,COCAL DOS ALVES,12696,PI
219770,COIVARAS,10189,PI
219808,COLONIA DO GURGUEIA,10200,PI
219852,COLONIA DO PIAUI,10227,PI
219888,CONCEICAO DO CANINDE,10553,PI
219917,CORONEL JOSE DIAS,10243,PI
219945,CORRENTE,10570,PI
219986,CRISTALANDIA DO PIAUI,10596,PI
220009,CRISTINO CASTRO,10618,PI
220059,CURIMATA,10634,PI
220094,CURRAIS,10766,PI
220149,CURRAL NOVO DO PIAUI,12181,PI
220177,CURRALINHOS,12580,PI
220225,DEMERVAL LOBAO,10650,PI
220284,DIRCEU ARCOVERDE,12297,PI
220319,DOM EXPEDITO LOPES,10677,PI
220348,DOM INOCENCIO,10685,PI
220384,DOMINGOS MOURAO,11410,PI
220416,ELESBAO VELOSO,10693,PI
220461,ELISEU MARTINS,10715,PI
220487,ESPERANTINA,10731,PI
220571,FARTURA DO PIAUI,10260,PI
220599,FLORES DO PIAUI,10758,PI
220625,FLORESTA DO PIAUI,12637,PI
220651,FLORIANO,10774,PI
220754,FRANCINOPOLIS,10790,PI
220787,FRANCISCO AYRES,10812,PI
220810,FRANCISCO MACEDO,12378,PI
220828,FRANCISCO SANTOS,10839,PI
220854,FRONTEIRAS,10855,PI
220890,GEMINIANO,10782,PI
220944,GILBUES,10871,PI
220981,GUADALUPE,10898,PI
221019,GUARIBAS,10804,PI
221049,HUGO NAPOLEAO,10910,PI
221094,ILHA GRANDE,10820,PI
221179,INHUMA,10936,PI
221219,IPIRANGA DO PIAUI,10952,PI
221247,ISAIAS COELHO,10979,PI
221281,ITAINOPOLIS,10995,PI
221310,ITAUEIRA,11010,PI
221343,JACOBINA DO PIAUI,10286,PI
221369,JAICOS,11037,PI
221414,JARDIM DO MULATO,10308,PI
221444,JATOBA DO PIAUI,12394,PI
221483,JERUMENHA,11053,PI
221531,JOAO COSTA,12386,PI
221565,JOAQUIM PIRES,11070,PI
221606,JOCA MARQUES,12408,PI
221636,JOSE DE FREITAS,11096,PI
221736,JUAZEIRO DO PIAUI,12416,PI
221778,JULIO BORGES,12203,PI
221807,JUREMA,10847,PI
221834,LAGOA ALEGRE,10324,PI
221883,LAGOA DE SAO FRANCISCO,10863,PI
221917,LAGOA DO BARRO DO PIAUI,10340,PI
221948,LAGOA DO PIAUI,12424,PI
221986,LAGOA DO SITIO,12220,PI
222010,LAGOINHA DO PIAUI,12432,PI
222043,LANDRI SALES,11118,PI
222078,LUIS CORREIA,11134,PI
222162,LUZILANDIA,11150,PI
222219,MADEIRO,12440,PI
222253,MANOEL EMIDIO,11177,PI
222284,MARCOLANDIA,10367,PI
222317,MARCOS PARENTE,11193,PI
222346,MASSAPE DO PIAUI,12467,PI
222374,MATIAS OLIMPIO,11215,PI
222416,MIGUEL ALVES,11231,PI
222482,MIGUEL LEAO,11258,PI
222508,MILTON BRANDAO,12246,PI
222532,MONSENHOR GIL,11274,PI
222573,MONSENHOR HIPOLITO,11290,PI
222601,MONTE ALEGRE DO PIAUI,11312,PI
222633,MORRO CABECA NO TEMPO,10880,PI
222673,MORRO DO CHAPEU DO PIAUI,12459,PI
222706,MURICI DOS PORTELAS,12475,PI
222741,NAZARE DO PIAUI,11339,PI
222781,NOSSA SENHORA DE NAZARE,10928,PI
222817,NOSSA SENHORA DOS REMEDIOS,11355,PI
222874,NOVA SANTA RITA,10960,PI
222909,NOVO ORIENTE DO PIAUI,11371,PI
222945,NOVO SANTO ANTONIO,10901,PI
222976,OEIRAS,11398,PI
223030,OLHO DAGUA DO PIAUI,12483,PI
223061,PADRE MARCOS,11436,PI
223096,PAES LANDIM,11452,PI
223124,PAJEU DO PIAUI,12262,PI
223142,PALMEIRA DO PIAUI,11479,PI
223170,PALMEIRAIS,11495,PI
223218,PAQUETA,10944,PI
223257,PARNAGUA,11517,PI
223284,PARNAIBA,11533,PI
223456,PASSAGEM FRANCA DO PIAUI,10405,PI
223498,PATOS DO PIAUI,10383,PI
223524,PAU DARCO DO PIAUI,12718,PI
223605,PAULISTANA,11550,PI
223646,PAVUSSU,12289,PI
223672,PEDRO II,11576,PI
223714,PEDRO LAURENTINO,12491,PI
223746,PICOS,11592,PI
223863,PIMENTEIRAS,11614,PI
223906,PIO IX,11630,PI
223935,PIRACURUCA,11657,PI
223988,PIRIPIRI,11673,PI
224079,PORTO,11690,PI
224132,PORTO ALEGRE DO PIAUI,12599,PI
224161,PRATA DO PIAUI,11711,PI
224187,QUEIMADA NOVA,10421,PI
224227,REDENCAO DO GURGUEIA,11738,PI
224260,REGENERACAO,11754,PI
224300,RIACHO FRIO,12300,PI
224337,RIBEIRA DO PIAUI,12602,PI
224372,RIBEIRO GONCALVES,11770,PI
224401,RIO GRANDE DO PIAUI,11797,PI
224427,SANTA CRUZ DO PIAUI,11819,PI
224457,SANTA CRUZ DOS MILAGRES,10448,PI
224494,SANTA FILOMENA,11835,PI
224524,SANTA LUZ,11851,PI
224551,SANTA ROSA DO PIAUI,10464,PI
224574,SANTANA DO PIAUI,10480,PI
224596,SANTO ANTONIO DE LISBOA,11878,PI
224621,SANTO ANTONIO DOS MILAGRES,12653,PI
224649,SANTO INACIO DO PIAUI,11894,PI
224680,SAO BRAZ DO PIAUI,10502,PI
224712,SAO FELIX DO PIAUI,11916,PI
224736,SAO FRANCISCO DE ASSIS DO PIAUI,12505,PI
224761,SAO FRANCISCO DO PIAUI,11932,PI
224792,SAO GONCALO DO GURGUEIA,12610,PI
224836,SAO GONCALO DO PIAUI,11959,PI
224869,SAO JOAO DA CANABRAVA,11088,PI
224891,SAO JOAO DA FRONTEIRA,12009,PI
224918,SAO JOAO DA SERRA,11975,PI
224951,SAO JOAO DA VARJOTA,12025,PI
224981,SAO JOAO DO ARRAIAL,10987,PI
225009,SAO JOAO DO PIAUI,11991,PI
225062,SAO JOSE DO DIVINO,10529,PI
225086,SAO JOSE DO PEIXE,12017,PI
225122,SAO JOSE DO PIAUI,12033,PI
225147,SAO JULIAO,12050,PI
225169,SAO LOURENCO DO PIAUI,10561,PI
225196,SAO LUIS DO PIAUI,12629,PI
225217,SAO MIGUEL DA BAIXA GRANDE,12661,PI
225241,SAO MIGUEL DO FIDALGO,12700,PI
225269,SAO MIGUEL DO TAPUIO,12076,PI
225308,SAO PEDRO DO PIAUI,12092,PI
225358,SAO RAIMUNDO NONATO,12114,PI
225448,SEBASTIAO BARROS,12041,PI
225476,SEBASTIAO LEAL,12068,PI
225501,SIGEFREDO PACHECO,10545,PI
225556,SIMOES,12130,PI
225598,SIMPLICIO MENDES,12157,PI
225624,SOCORRO DO PIAUI,12173,PI
225657,SUSSUAPARA,12513,PI
225694,TAMBORIL DO PIAUI,12530,PI
225722,TANQUE DO PIAUI,12521,PI
225749,TERESINA,12190,PI
226138,UNIAO,12211,PI
226209,URUCUI,12238,PI
226246,VALENCA DO PIAUI,12254,PI
226301,VARZEA BRANCA,10588,PI
226333,VARZEA GRANDE,12270,PI
226370,VERA MENDES,12556,PI
226391,VILA NOVA DO PIAUI,12548,PI
226415,WALL FERRAZ,12564,PI
226448,ABATIA,74012,PR
226524,ADRIANOPOLIS,74039,PR
226570,AGUDOS DO SUL,74055,PR
226660,ALMIRANTE TAMANDARE,74071,PR
226807,ALTAMIRA DO PARANA,84557,PR
226835,ALTO PARANA,74098,PR
226876,ALTO PIQUIRI,74110,PR
226924,ALTONIA,79510,PR
226980,ALVORADA DO SUL,74136,PR
227051,AMAPORA,74152,PR
227104,AMPERE,74179,PR
227149,ANAHY,74101,PR
227202,ANDIRA,74195,PR
227303,ANGULO,74128,PR
227354,ANTONINA,74217,PR
227489,ANTONIO OLINTO,74233,PR
227525,APUCARANA,74250,PR
227663,ARAPONGAS,74276,PR
227782,ARAPOTI,74292,PR
227878,ARAPUA,75108,PR
227935,ARARUNA,74314,PR
228002,ARAUCARIA,74357,PR
228196,ARIRANHA DO IVAI,75086,PR
228224,ASSAI,74373,PR
228321,ASSIS CHATEAUBRIAND,79537,PR
228378,ASTORGA,74390,PR
228445,ATALAIA,74411,PR
228485,BALSA NOVA,74438,PR
228552,BANDEIRANTES,74454,PR
228625,BARBOSA FERRAZ,74470,PR
228679,BARRA DO JACARE,74519,PR
228735,BARRACAO,74497,PR
228778,BELA VISTA DA CAROBA,75124,PR
228813,BELA VISTA DO PARAISO,74535,PR
228910,BITURUNA,74551,PR
228960,BOA ESPERANCA,74578,PR
229007,BOA VENTURA DE SAO ROQUE,75140,PR
229072,BOA VISTA DA APARECIDA,79812,PR
229124,BOCAIUVA DO SUL,74594,PR
229189,BOM JESUS DO SUL,75167,PR
229211,BOM SUCESSO,74616,PR
229266,BOM SUCESSO DO SUL,74160,PR
229303,BORRAZOPOLIS,74632,PR
229380,BRAGANEY,79839,PR
229432,BRASILANDIA DO SUL,74187,PR
229459,CAFEARA,74659,PR
229483,CAFELANDIA,79855,PR
229516,CAFEZAL DO SUL,74209,PR
229552,CALIFORNIA,74675,PR
229607,CAMBARA,74691,PR
229689,CAMBE,74713,PR
229920,CAMBIRA,74730,PR
229983,CAMPINA DA LAGOA,74756,PR
230033,CAMPINA DO SIMAO,75183,PR
230098,CAMPINA GRANDE DO SUL,74772,PR
230230,CAMPO BONITO,74780,PR
230273,CAMPO DO TENENTE,74799,PR
230331,CAMPO LARGO,74810,PR
230495,CAMPO MAGRO,75205,PR
230579,CAMPO MOURAO,74837,PR
230729,CANDIDO DE ABREU,74853,PR
230787,CANDOI,74225,PR
230846,CANTAGALO,84514,PR
230913,CAPANEMA,74870,PR
230952,CAPITAO LEONIDAS MARQUES,74896,PR
230999,CARAMBEI,75221,PR
231086,CARLOPOLIS,74918,PR
