obs,APPLE,DATE,EXXON_MOBIL,FORD,GEN_ELECTRIC,INTEL,MICROSOFT,NETFLIX,NOKIA,SP500,YAHOO
816,251.839996,733902,64.639999,11.99,17.85,22.32,28.68,95.65,11.07,1156.390015,15.95
817,259.240005,733903,64.870003,12.57,18.09,22.6,28.98,101.689998,10.87,1155.430054,16.450001
818,263.21999,733904,64.5,12.87,18.41,23.030001,29.26,108.449999,10.48,1170.040039,16.49
819,255.159992,733905,63.740002,12.25,17.969999,22.190001,29.200001,105.499998,10.37,1157.189941,16.51
820,254.700008,733908,64.050003,12.08,17.610001,21.75,29.120001,101.469999,10.62,1136.52002,16.41
821,256.980007,733909,62.459999,12.15,17.719999,22.139999,28.870001,105.390002,10.07,1138.780029,16.27
822,249.499996,733910,61.470001,11.3,17.07,21.52,28.52,101.040003,9.84,1119.569946,15.83
823,241.880009,733911,59.16,11.04,16.809999,21.02,27.65,96.749998,9.81,1107.339966,15.45
824,232.819988,733912,60.740002,10.25,15.7,20.41,26.629999,91.430003,9.92,1067.26001,14.81
825,247.279999,733915,58.990002,11.29,16.32,20.950001,26.85,101.379997,9.66,1084.780029,15.42
826,239.349991,733916,60.080002,10.47,15.5,20.120001,25.65,97.500002,10.26,1067.420044,15.04
827,250.080009,733917,60.5,11.45,16.35,21.1,26.23,107.450003,10.21,1075.51001,15.6
828,250.599995,733918,61.209999,11.85,16.42,21.16,25.73,108.000002,10.34,1074.27002,15.83
829,259.389996,733919,60.380001,12.05,16.66,21.68,25.84,108.870002,10.05,1102.589966,15.61
830,259.690002,733923,59.509998,11.5,16.24,21.299999,25.530001,109.259997,10.03,1087.300049,15.31
831,264.539993,733924,61.23,11.66,16.16,21.389999,26.059999,108.900002,10.25,1073.01001,15.04
832,265.180008,733925,60.740002,12.01,16.41,21.959999,26.549999,111.939999,9.78,1098.819946,15.32
833,258.209995,733926,59.98,11.69,16.08,21.540001,26.1,109.879998,9.58,1098.430054,15.12
834,258.289997,733929,59.619999,11.45,15.73,20.940001,25.82,109.800003,9.39,1065.839966,15.19
835,253.240002,733930,61.580002,11.14,15.46,20.219999,25.25,111.069999,9.25,1050.810059,15.05
836,251.470001,733931,61.5,11.36,15.58,20.389999,25.219999,112.979996,9.39,1062.75,14.93
837,244.839996,733932,61.68,11.21,15.59,20.35,25.129999,118.020004,9.37,1058.77002,14.94
838,248.230007,733933,62.060001,11.23,15.53,20.309999,25.040001,117.480005,9.64,1082.650024,15.02
839,255.960011,733936,61.889999,11.48,15.77,20.950001,25.860001,123.399994,9.75,1095,15.46
840,255.640003,733937,61.970001,11.55,15.52,21.110001,25.75,125.000004,8.76,1091.209961,15.29
841,261.099995,733938,62.419998,11.65,15.71,21.41,26.469999,122.799994,8.82,1114.02002,15.58
842,270.599998,733939,62.779999,11.69,15.87,21.59,26.559999,125.550003,8.9,1115.97998,15.72
843,272.249996,733940,64.099998,11.56,16,21.559999,26.370001,125.929998,8.87,1116.160034,15.66
844,277.689987,733943,63.130001,11.68,16.209999,21.67,26.780001,126.040001,8.6,1122.790039,15.71
845,272.160007,733944,61.709999,11.54,16.09,21.129999,26.16,119.519999,8.53,1113.900024,15.24
846,274.580009,733945,60.82,11.23,15.76,20.940001,25.780001,117.749998,8.5,1095.569946,15.14
847,271.000008,733946,60.150002,10.99,15.38,20.620001,25.459999,116.880005,8.31,1090.930054,15.11
848,270.060013,733947,59.310001,10.75,15.12,20.4,25.049999,115.409998,8.3,1075.099976,14.86
849,266.930008,733950,58,10.72,14.96,20.110001,24.51,118.670006,8.22,1077.5,14.83
850,264.12001,733951,57.330002,10.12,14.75,20,24.129999,115.419998,8.17,1071.099976,14.53
851,256.709988,733952,56.98,10.1,14.47,19.700001,23.299999,109.990001,8.43,1040.560059,13.95
852,254.299999,733953,56.849998,10.23,14.33,19.43,23.09,108.8,8.64,1031.099976,13.99
853,250.490005,733954,57.169998,10.58,14.16,19.209999,23.360001,110.660003,8.6,1027.650024,14.08
854,251.000004,733958,57.369999,10.42,14.11,19.549999,23.700001,109.400001,8.4,1028.089966,14.23
855,250.490005,733959,59.130001,10.21,13.99,19.459999,23.82,108.820001,8.67,1028.540039,14.18
856,262.48,733960,58.759998,10.72,14.87,20.34,24.6,120.019997,8.45,1062.920044,14.43
857,256.889992,733961,58.290001,10.58,14.95,20.059999,24.33,116.180002,8.35,1070.5,14.6
858,258.530003,733964,59.599998,10.84,14.9,20.309999,24.43,117.950003,8.47,1077.22998,14.93
859,256.319992,733965,59.220001,11.47,15.22,20.969999,25.139999,121.420002,8.51,1080.650024,15.06
860,249.379993,733966,59.360001,11.62,15.26,22.059999,25.5,120.519995,8.87,1095.609985,15.32
861,248.230007,733967,58.84,11.86,15.16,21.34,25.5,121.669994,8.88,1094.459961,15.31
862,253.18,733968,58.330002,11.75,15,21.43,25.51,120.699999,8.88,1093.849976,15.33
863,249.880005,733971,57.68,11.44,14.64,21.17,24.959999,117.769999,8.96,1066.849976,15.23
864,242.900005,733972,59.130001,11.3,14.36,21.16,24.860001,117.149998,9.07,1064.530029,14.99
865,265.089993,733973,58.709999,11.82,15.11,21.57,25.6,122.050003,9.21,1086.670044,14.27
866,257.679996,733974,59.259998,11.76,15.08,21.35,25.51,109.500003,9.22,1072.140015,13.89
867,257.089996,733975,59.700001,12.55,15.21,21.639999,25.84,104.98,9.38,1092.170044,13.78
868,259.999996,733978,60.619999,12.82,15.91,21.68,25.860001,108.51,9.43,1102.890015,13.96
869,260.870003,733979,60.73,13.16,16.299999,21.68,26.139999,105,9.27,1117.359985,14.07
870,263.669987,733980,61.419998,12.99,16.1,21.639999,26.07,103.789999,9.39,1112.839966,13.91
871,260.709999,733981,60.150002,13.03,16.15,21.389999,26.129999,100.519998,9.14,1108.069946,13.9
872,255.889996,733982,60.639999,12.81,15.92,20.77,25.75,99.689999,9.61,1098.439941,13.69
873,260.440006,733985,61.98,13.06,16.32,20.9,25.99,104.019998,9.72,1107.530029,14.01
874,261.010006,733986,62.860001,13.08,16.389999,21.01,26.200001,101.060003,9.65,1125.339966,13.95
875,262.840008,733987,62.279999,13,16.41,20.809999,26.15,104.969999,9.51,1121.060059,14
876,261.729996,733988,61.919998,13.05,16.35,20.639999,25.49,107.229998,9.52,1125.780029,14.16
877,259.779991,733989,62.560001,12.83,16.32,20.450001,25.18,108.689998,9.53,1122.069946,14.06
878,261.480003,733992,61.849998,13.12,16.42,20.790001,25.549999,118.000004,9.43,1122.800049,14.34
879,259.850006,733993,60.549999,12.94,16.190001,20.110001,25.33,113.400005,9.12,1122.920044,14.26
880,255.399998,733994,59.700001,12.65,15.98,19.530001,24.68,122.020002,8.9,1116.890015,14.14
881,246.689999,733995,59.959999,12.03,15.42,19.17,24.42,124.450005,8.92,1081.47998,13.77
882,251.650005,733996,59.599998,12.25,15.34,19.33,24.35,132.42,8.87,1082.219971,13.81
883,247.580006,733999,60.490002,11.96,15.29,19.139999,24.360001,131.639996,8.94,1077.48999,13.75
884,250.080009,734000,60.669998,12.2,15.66,19.719999,24.709999,139.500002,8.97,1081.160034,13.84
885,252.360008,734001,59.93,12.17,15.58,19.530001,24.68,129.000002,9.19,1092.079956,13.98
886,252.839993,734002,59.02,12.13,15.56,18.969999,24.620001,123.750002,9.07,1092.439941,13.85
887,249.390007,734003,58.970001,11.85,15.18,18.92,24.309999,127.679998,9,1075.630005,13.85
888,251.790009,734006,58.959999,11.84,15.22,18.92,24.440001,130.499996,8.79,1073.359985,13.81
889,242.669987,734007,58.689999,11.28,14.74,18.559999,24.09,125.580004,8.61,1063.199951,13.53
890,238.040001,734008,59.360001,11.04,14.46,18.26,24,120.009996,8.74,1048.97998,13.29
891,245.449997,734009,58.720001,11.4,14.66,18.6,24.09,125.889997,8.67,1056.280029,13.36
892,241.749992,734010,59.560001,11.26,14.61,18.23,23.879999,126.349995,8.61,1049.27002,13.24
893,240.76001,734013,58.75,11.58,14.67,18.25,23.74,125.249996,8.49,1062.900024,13.27
894,241.849995,734014,60.040001,11.27,14.36,17.879999,23.6,121.859999,8.81,1046.880005,13.11
895,247.46999,734015,60.490002,11.53,14.73,17.940001,23.67,130.870005,8.98,1049.719971,13.2
896,251.26001,734016,61.200001,11.68,15.1,18.23,23.879999,134.300003,9.18,1080.660034,13.33
897,255.090004,734017,60.889999,11.88,15.39,18.52,24.24,140,9.48,1093.609985,13.69
898,256.639999,734021,60.66,12.01,15.28,18.360001,24.1,137.910006,9.78,1102.599976,13.56
899,259.779991,734022,61.5,11.81,15.39,18.040001,24.07,143.590002,9.91,1092.359985,13.66
900,265.040005,734023,61.380001,11.96,15.91,18.049999,24.190001,148.300003,10.19,1101.150024,13.88
901,263.190002,734024,61.389999,11.81,15.96,17.950001,23.98,146.630005,10.15,1104.569946,13.68
902,265.819996,734027,60.84,11.93,16.190001,18.219999,24.200001,149.410002,9.96,1113.380005,13.83
903,266.209991,734028,60.759998,11.96,16.18,18.530001,25.040001,147.720003,9.81,1121.160034,13.76
904,268.17001,734029,60.849998,11.93,16.07,18.73,25.1,146.590004,9.99,1119.430054,14.03
905,270.23999,734030,61.189999,12.12,16.18,18.700001,25.059999,142.749996,10.04,1123.890015,14.2
906,277.689987,734031,61.040001,12.53,16.309999,19.030001,25.4,142.380001,10.1,1126.390015,14.33
907,276.07999,734034,61.650002,12.55,16.27,18.889999,25.280001,142.000006,9.92,1126.569946,13.95
908,283.860008,734035,61.560001,12.53,16.52,18.879999,25.42,143.5,9.98,1142.819946,13.94
909,282.709995,734036,60.990002,12.43,16.51,19.040001,24.889999,150.080004,9.82,1139.48999,14.19
910,286.329998,734037,61.509998,12.26,16.27,18.85,24.51,158.760002,9.92,1131.099976,13.93
911,292.10001,734038,61.990002,12.42,16.33,19.23,24.639999,164.120005,9.86,1131.689941,14.3
912,293.98,734041,61.630001,12.57,16.65,19.4,24.85,160.500002,9.79,1148.640015,14.46
913,291.769989,734042,61.77,12.48,16.43,19.309999,24.799999,164.849995,9.82,1142.310059,14.33
914,287.229992,734043,61.950001,12.45,16.34,19.48,24.629999,160.389999,10.11,1146.75,14.36
915,288.999992,734044,62.32,12.44,16.459999,19.34,24.610001,171.849995,10.31,1145.969971,14.26
916,286.149994,734045,62.52,12.24,16.4,19.469999,24.77,160.600004,10.16,1143.48999,14.19
917,281.60001,734048,62.59,12.57,16.309999,19.25,23.959999,153.020004,10.28,1144.959961,14.2
918,281.999992,734049,63.18,13,16.25,19.08,24.059999,159.500006,10.55,1140.680054,14.45
919,289.589993,734050,63.959999,13.06,16.49,19.209999,24.32,154.489998,10.72,1159.810059,14.6
920,290.339996,734051,63.810001,13.32,17,19.370001,24.620001,150.670004,10.75,1161.569946,14.6
921,291.709988,734052,64.360001,13.3,17.129999,19.4,24.620001,152.039995,10.98,1158.359985,14.21
922,294.73999,734055,64.309998,13.72,17.24,19.59,24.74,150.740005,10.81,1165.319946,14.45
923,295.409992,734056,64.839996,13.71,16.969999,19.65,24.65,153.719994,11.2,1164.280029,14.36
924,300.200008,734057,65.050003,13.9,17.299999,19.98,25.02,158.1,11.11,1171.319946,14.57
925,301.690002,734058,65.639999,13.88,17.389999,19.309999,25.290001,153.909998,10.98,1177.819946,16.75
926,307.439987,734059,65.190002,14,16.780001,19.440001,25.360001,153.530003,10.94,1177.469971,16.17
927,318.470013,734062,65.589996,13.75,16.309999,19.26,25.59,156.410002,10.59,1176.829956,16.200001
928,303.400002,734063,65.470001,13.63,16.1,19.01,25.27,150.309996,10.6,1178.640015,15.73
929,308.999996,734064,66.290001,13.45,16.190001,19.299999,25.26,150.000002,11.36,1166.73999,15.79
930,312.359993,734065,66.510002,13.78,16.09,19.75,25.4,169.539995,11.23,1179.819946,15.9
931,309.070011,734066,66.68,13.86,16.110001,19.790001,25.52,167.100006,11.14,1180.52002,15.9
932,309.090012,734069,65.959999,14.05,16.26,19.950001,25.24,169.230001,10.93,1184.73999,16.299999
933,306.869987,734070,65.949997,13.97,16.059999,19.790001,25.120001,167.100006,10.81,1184.880005,16.219999
934,307.650005,734071,66.43,14.34,16.059999,19.93,25.790001,179.300005,10.93,1183.839966,16.4
935,307.950012,734072,66.099998,14.29,16.219999,20.290001,26.209999,178.999998,10.79,1184.469971,16.450001
936,304.230007,734073,66.720001,14.18,16.07,20.450001,27.15,174.939999,10.52,1183.869995,16.370001
937,302.220001,734076,67.32,14.32,16.09,20.35,26.879999,173.950003,10.57,1185.709961,16.5
938,307.000004,734077,68.230003,14.32,16,20.639999,27.059999,166.689997,10.6,1187.859985,16.290001
939,311.37001,734078,68.400002,14.48,15.96,20.34,27.459999,172.639999,10.86,1193.790039,16.209999
940,315.449997,734079,69.440002,15.51,16.200001,20.66,27.41,173.350002,10.74,1198.339966,16.309999
941,317.990002,734080,69.489998,15.98,16.52,21.01,27.17,170.839998,10.54,1221.199951,16.18
942,317.199997,734083,70.290001,16.360001,16.620001,21.34,26.68,166.83,10.82,1223.23999,16.290001
943,321.049992,734084,70.959999,16.530001,16.82,21.200001,26.809999,169.75,10.77,1223.589966,17.219999
944,316.640011,734085,71,16.32,16.639999,21.15,27.01,170.000006,10.51,1213.140015,17
945,315,734086,71.379997,16.540001,16.440001,20.690001,26.68,174.919998,10.45,1213.040039,16.629999
946,315.999996,734087,71.010002,16.459999,16.25,21.440001,26.469999,174.590004,10.37,1209.069946,16.65
947,308.460011,734090,69.620003,16.809999,16.23,21.65,26.33,171.929996,10.18,1200.439941,16.559999
948,305.720001,734091,68.839996,17.190001,16.139999,21.129999,26.040001,166.759998,10.07,1194.790039,16.450001
949,301.200005,734092,69.650002,16.76,15.87,21.02,25.9,164.710005,10.24,1178.329956,16.209999
950,305.199989,734093,70.199997,16.77,16,21.049999,25.709999,169.589996,10.1,1183.75,16.4
951,307.970013,734094,70.099998,16.02,16.059999,20.969999,25.799999,168.359995,9.91,1196.119995,16.969999
952,306.679996,734097,68.800003,16.26,16.139999,20.92,25.65,181.070005,9.64,1198.069946,16.43
953,310.449989,734098,69.25,16.01,15.83,21.040001,25.57,186.230003,9.56,1192.51001,16.34
954,312.000011,734099,69.300003,15.95,15.81,21.23,25.200001,190.910004,9.52,1183.699951,16.309999
955,313.739998,734101,68.860001,15.81,15.78,21.24,25.209999,188.349998,9.29,1194.160034,16.25
956,315.500011,734104,68.550003,16.120001,15.73,21.15,25.190001,194.009995,9.1,1189.079956,16.1
957,313.539993,734105,70.379997,15.92,15.75,21.18,25.049999,198.000006,9.5,1182.959961,16.200001
958,315.269993,734106,71.190002,16.24,16.030001,21.459999,25.57,207.820004,9.5,1186.599976,16
959,317.529991,734107,71.010002,16.719999,16.290001,21.5,26.24,194.23,9.95,1206.810059,16.200001
960,317.010006,734108,71.199997,16.629999,16.49,21.629999,26.809999,194.709997,9.87,1219.930054,16.27
961,318.640003,734111,71.910004,16.66,16.700001,21.610001,26.93,186.910006,10.21,1223.869995,16.469999
962,323.799988,734112,71.870003,16.91,16.92,21.84,27.08,197.250002,10.07,1227.25,16.5
963,319.630013,734113,72.050003,16.66,17.01,21.690001,26.83,185.110004,10,1225.02002,17.01
964,322.12999,734114,72.18,16.82,17.209999,22.01,27.280001,189.999996,9.74,1230.140015,17.120001
965,319.650013,734115,72.410004,16.68,17.219999,21.91,27.190001,197.380005,9.92,1233.849976,16.969999
966,324.369987,734118,72.230003,16.65,17.889999,22.01,27.27,192.550001,9.84,1242.52002,16.9
967,321.730007,734119,71.870003,16.5,17.66,21.4,27.309999,181.139994,9.93,1241.839966,16.77
968,320.000008,734120,71.919998,16.370001,17.639999,21.35,27.530001,178.259995,9.86,1241.579956,16.549999
969,321.089993,734121,72.110001,16.52,17.530001,21.35,27.76,178.550001,9.99,1236.339966,16.450001
970,321.630005,734122,72.239998,16.76,17.73,21.309999,27.92,183.059998,9.93,1243.630005,16.51
971,321.599991,734125,72.43,16.85,17.77,21.389999,27.950001,180.799999,10.03,1245.76001,16.379999
972,322.999996,734126,72.940002,16.889999,17.780001,21.27,27.85,180.669996,10.25,1249.430054,16.309999
973,324.360001,734127,72.940002,17,17.83,20.950001,28.01,187.119997,10.21,1254.939941,16.67
974,324.999989,734128,72.809998,16.9,18,20.84,27.969999,185.379997,10.18,1257.530029,16.559999
975,322.850006,734132,73.199997,16.719999,17.92,20.75,28.120001,180.149998,10.23,1254.660034,16.620001
976,325.909996,734133,73.410004,16.83,18.209999,20.809999,27.969999,179.130001,10.21,1259.099976,16.469999
977,326.21999,734134,73.290001,16.67,18.370001,20.940001,27.940001,184.049994,10.25,1258.780029,16.5
978,325.48,734135,73.160004,16.719999,18.280001,20.950001,27.92,179.999994,10.24,1259.439941,16.6
979,322.950008,734136,73.720001,16.65,18.15,21.030001,27.799999,179.049999,10.58,1256.76001,16.74
980,325.640003,734139,74.709999,17.02,18.49,21.01,28.049999,175,10.84,1257.619995,16.809999
981,332.439999,734140,74.669998,17.389999,18.34,21.120001,27.940001,181.349998,10.64,1272.949951,16.709999
982,329.549999,734141,74.900002,17.309999,18.52,21.190001,27.9,181.149994,10.71,1268.780029,16.549999
983,334.719997,734142,75.209999,18.030001,18.690001,20.67,28.040001,176.18,10.57,1276.290039,16.9
984,333.989994,734143,75.129997,18.42,18.58,20.709999,28.639999,178.670004,10.37,1274.410034,17.030001
985,338.829998,734146,75.019997,18.43,18.610001,20.709999,28.26,179.700001,10.43,1270.839966,16.780001
986,344.87999,734147,75.940002,18.48,18.709999,20.83,28.200001,189.419996,10.62,1272.579956,16.700001
987,343.249992,734148,76.650002,18.360001,18.57,21.27,28.120001,188.010004,11,1275.650024,16.709999
988,345.159996,734149,76.669998,18.809999,18.73,21.26,28.33,188.440001,10.84,1285.780029,16.639999
989,345.889999,734150,77.790001,18.610001,18.610001,21.35,28.08,190.810001,10.8,1282.900024,16.67
990,329.520012,734154,78.629997,18.66,18.98,21.030001,28.16,191.470003,10.48,1293.219971,16.620001
991,348.350002,734155,77.980003,18.709999,18.610001,21.07,28.459999,192.809994,10.38,1294.52002,16.49
992,336.429996,734156,78.209999,17.77,18.459999,20.940001,28.5,186.820004,10.74,1280.849976,16.290001
993,333.769989,734157,78.849998,17.99,19.309999,20.950001,28.4,184.859999,10.71,1283.630005,16.27
994,326.869991,734160,78.220001,18.030001,19.93,21.030001,28.02,179.989994,10.62,1283.290039,16
995,336.329994,734161,78.709999,17.860001,19.98,21.280001,28.139999,182.989996,10.59,1288.170044,16.17
996,342.959999,734162,79.839996,17.969999,20.18,21.77,28.51,187.400003,10.59,1291.969971,15.93
997,343.779991,734163,79.779999,18.52,19.959999,21.76,28.75,207.150002,10.63,1297.51001,15.58
998,344.169987,734164,79.919998,17.790001,20.389999,21.76,28.9,211.689999,10.63,1299.630005,16.15
999,335.799995,734167,81.139999,16.559999,20.129999,21.549999,27.77,213.100004,10.58,1276.5,15.82
1000,341.299988,734168,83.589996,16.139999,20.379999,21.49,27.799999,214.629999,11.14,1289.140015,16.33
1001,344.449993,734169,83.059998,15.91,20.84,21.48,27.93,208.729998,11.21,1305.910034,16.25
1002,343.799992,734170,83.25,15.38,20.65,21.41,27.969999,211.049997,11.06,1302.77002,16.48
1003,343.639988,734171,83.449997,15.91,20.790001,21.469999,27.700001,212.960001,11.24,1307.01001,16.74
1004,347.889992,734174,83.5,15.84,20.77,21.74,27.799999,222.789999,11.23,1311.849976,16.809999
1005,353.680004,734175,82.440002,16.17,20.959999,21.65,28.1,218.250002,11.39,1318.76001,16.83
1006,355.189999,734176,81.68,16.129999,21.299999,21.530001,28.190001,217.290007,11.27,1322.47998,16.540001
1007,357.389996,734177,82.230003,15.99,21.17,21.43,27.93,220.969997,9.61,1318.130005,16.389999
1008,354.749989,734178,82.07,16.059999,21.040001,21.629999,27.76,224.240005,9.01,1318.660034,16.58
1009,356.790009,734181,84.790001,16.379999,21.51,21.629999,27.209999,235.68,8.86,1328.72998,16.84
1010,359.19001,734182,83.059998,16.030001,21.450001,21.48,27.040001,243.490005,9.16,1330.430054,16.799999
1011,360.800007,734183,83.970001,16.16,21.42,21.57,27.049999,242.709988,9.05,1329.51001,17.23
1012,357.249992,734184,83.910004,16.01,21.280001,21.68,26.969999,235.869991,9.13,1334.369995,17.75
1013,358.709999,734185,84.970001,15.95,21.540001,22.09,27.129999,237.779995,8.88,1340.380005,17.690001
1014,342.149994,734189,86,15.36,20.879999,21.950001,26.780001,225.369991,8.71,1338.910034,17.08
1015,338.769997,734190,87.199997,15.02,20.52,21.700001,26.530001,215.549994,8.66,1315.439941,17.030001
1016,344.019997,734191,85.790001,14.57,20.120001,21.1,26.639999,212.500004,8.67,1307.089966,16.66
1017,345.259998,734192,85.870003,14.94,20.709999,21.52,26.91,214.629999,8.68,1307.339966,16.389999
1018,351.240002,734195,86.410004,15.29,20.950001,21.75,26.690001,213.849995,8.73,1321.609985,16.370001
1019,355.470005,734196,84.589996,15.1,21.120001,21.610001,26.6,206.200006,8.6,1328.640015,16.459999
1020,349.959999,734197,85.459999,14.66,20.18,21.42,26.110001,205.000006,8.74,1305.469971,16.65
1021,357.189991,734198,85.919998,14.9,20.879999,21.66,26.26,206.5,8.54,1312.369995,16.85
1022,360.070004,734199,85.839996,14.79,20.85,21.879999,26.219999,203.750004,8.51,1330.72998,16.75
1023,361.399994,734202,84.599998,14.34,20.4,21.690001,26.129999,214.730001,8.38,1322.719971,17.07
1024,354.909992,734203,84.120003,14.02,20.43,21.26,25.77,200.200003,8.59,1311.050049,16.74
1025,354.689987,734204,83.800003,14.59,20.58,21.08,25.809999,195.289997,8.5,1319.920044,16.889999
1026,349.120007,734205,81.019997,14.1,20.26,20.940001,25.620001,191.079994,8.32,1315.719971,17.299999
1027,345.330013,734206,81.669998,13.9,19.950001,20.629999,25.41,202.219995,8.24,1293.430054,17
1028,353.179993,734209,80.169998,14.47,19.959999,20.66,25.49,203.230005,7.74,1301.189941,17.24
1029,342.100006,734210,81.230003,13.8,18.84,20.23,25.08,202.480001,8.04,1288.459961,16.66
1030,342.000004,734211,80.379997,14.73,19.379999,20.030001,25.219999,221.029999,8.08,1279.459961,16.33
1031,336.830006,734212,81.769997,14.56,19.27,20.02,25.059999,216.939999,8.32,1261.609985,16.16
1032,337.130013,734213,81.870003,14.58,19.639999,19.98,25.059999,213.560001,8.46,1276.709961,16.1
1033,335.990013,734216,83.099998,14.7,19.68,19.9,25.18,211.850002,8.41,1281.650024,16.18
1034,342.55999,734217,82.650002,14.52,19.77,20.18,25.299999,220.770006,8.23,1298.290039,16.290001
1035,339.279995,734218,82.779999,14.26,19.450001,20.09,25.23,222.049995,8.43,1292.189941,16.299999
1036,341.849987,734219,82.989998,14.4,19.68,20.51,25.6,231.979996,8.4,1300.609985,16.190001
1037,348.069996,734220,83.860001,15.2,19.85,20.299999,25.93,226.959988,8.69,1311.800049,16.940001
1038,353.150005,734223,83.160004,14.99,19.809999,20.440001,25.66,233.500004,8.65,1315.449951,17.01
1039,347.66,734224,83.800003,14.83,19.66,20.27,25.34,237.970013,8.61,1309.369995,16.6
1040,350.639988,734225,84.82,14.88,19.98,20.42,25.6,238.690002,8.55,1321.890015,16.83
1041,346.359997,734226,84.720001,14.82,20.08,20.290001,25.6,237.28001,8.44,1327.439941,16.709999
1042,351.110012,734227,84.260002,15.03,20.139999,20.379999,25.530001,240.999989,8.62,1329.47998,16.83
1043,344.30999,734230,84.68,15.39,20.73,19.790001,25.450001,244.830009,8.75,1333.560059,16.9
1044,336.990009,734231,85.730003,15.65,20.48,19.59,25.82,244.599991,8.82,1332.030029,16.809999
1045,341.220013,734232,85.160004,15.91,20.57,19.860001,25.98,247.999989,9,1335.939941,17.17
1046,338.099995,734233,86,15.71,20.49,19.92,26.190001,235.379993,9.06,1334.819946,16.91
1047,339.92001,734234,85.949997,15.65,20.49,20.040001,26.17,235.940006,9.09,1336.160034,17.08
1048,334.060009,734237,84.239998,15.27,20.24,20.07,26.190001,232.779987,8.95,1329.01001,16.91
1049,330.489994,734238,83.580002,14.59,20.02,20.01,25.83,224.870007,8.88,1321.959961,16.549999
1050,335.020004,734239,82.379997,15.04,20.049999,19.879999,25.65,236.479992,8.63,1314.030029,16.43
1051,334.799999,734240,83.800003,14.74,19.85,19.639999,25.42,237.98,8.57,1311.130005,16.549999
1052,333.299992,734241,83.110001,14.86,20.049999,19.6,25.459999,236.630009,8.38,1314.540039,16.639999
1053,326.099987,734244,82.970001,14.51,19.77,19.530001,25.1,232.01001,8.35,1313.349976,16.35
1054,333.099987,734245,85.050003,14.65,19.99,19.67,25,233.769997,8.53,1305.98999,16.209999
1055,343.509998,734246,85.769997,14.95,20.52,21.209999,25.540001,243.390003,8.81,1319.119995,16.700001
1056,355.000008,734247,86.290001,15.23,20.780001,21.389999,25.790001,244.140007,8.65,1333.22998,16.93
1057,350.340008,734251,86.43,15.51,20.139999,21.370001,25.559999,254.709995,8.66,1337.140015,17.01
1058,353.620003,734252,87.480003,16.040001,20.040001,21.82,25.74,237.109993,9.03,1336.75,17.110001
1059,352.239998,734253,87.029999,15.85,20.190001,22.540001,26.299999,228.669987,9.3,1348.430054,17.299999
1060,346.190006,734254,87.43,15.47,20.690001,22.450001,26.459999,232.999992,9.32,1353.859985,17.219999
1061,346.780006,734255,88.099998,15.49,20.719999,22.799999,26.549999,232.799988,9.32,1360.140015,17.459999
1062,349.739994,734258,86.589996,15.52,20.700001,23.02,25.940001,238.220005,9.31,1365.209961,17.790001
1063,347.989994,734259,85.190002,15.42,20.360001,22.809999,25.6,235.689987,8.86,1359.76001,18.23
1064,348.259987,734260,83.519997,15.42,20.559999,23.049999,25.85,231.799992,8.51,1355.900024,17.99
1065,348.39999,734261,83.269997,14.97,20.23,23.43,26.049999,226.389988,8.59,1344.160034,18.120001
1066,349.690006,734262,83.010002,15.26,20.190001,23.459999,26.07,232.77,8.44,1340.23999,18.59
1067,347.860004,734265,83.080002,15.12,19.969999,23.129999,25.799999,231.799992,8.51,1340.199951,18.6
1068,348.889988,734266,82.510002,15.13,20.139999,22.85,25.379999,237.160007,8.7,1348.339966,18.67
1069,349.020004,734267,80.620003,15.11,20.209999,23.290001,25.65,239.050011,8.64,1354.51001,18.450001
1070,346.119991,734268,81.290001,15.14,20,23.25,25.35,241.199993,8.62,1339.390015,17.120001
1071,345.660007,734269,80.220001,15.22,20.120001,23.66,25.280001,244.129993,8.65,1348.689941,16.139999
1072,339.199993,734272,79.989998,15.21,19.85,23.32,24.959999,245.999996,8.57,1334.77002,16.68
1073,331.999989,734273,80.879997,15.06,19.620001,23.370001,24.4,235.000011,8.56,1326.099976,15.88
1074,336.469997,734274,82.269997,15.01,19.59,23.6,24.530001,237.400013,8.52,1328.540039,16.07
1075,342.080006,734275,81.980003,15.1,19.870001,23.32,24.85,243.499992,8.51,1342.400024,16.049999
1076,339.560001,734276,80.220001,15.05,19.93,23.459999,24.719999,241.580002,8.09,1342,16.32
1077,329.970009,734279,81.050003,14.71,19.32,22.92,24.209999,243.020008,8.2,1333.069946,16.049999
1078,335.499989,734280,80.970001,14.84,19.43,22.889999,24.200001,249.889992,8.07,1317.699951,16.110001
1079,333.430008,734281,81.599998,14.54,19,22.52,24.17,247.939987,8.15,1316.359985,16.190001
1080,335.970013,734282,82.739998,14.51,19.129999,22.620001,24.35,259.300007,8.19,1320.640015,16.18
1081,334.799999,734283,83.279999,14.55,19.49,22.459999,24.68,264.499992,7.1,1325.689941,16.030001
1082,341.10001,734287,83.550003,14.75,19.68,22.450001,24.959999,267.249989,6.51,1331.099976,16.17
1083,348.869987,734288,81.769997,14.78,19.469999,22.450001,24.99,269.470013,6.73,1345.199951,16.34
1084,346.5,734289,80.239998,14.26,19.16,22.01,24.49,266.049988,6.54,1314.550049,16
1085,343.180004,734290,80.93,13.88,18.83,21.790001,24.049999,270.000011,6.72,1312.939941,15.82
